Day;EnergyConsumptionDailyCumulative;EnergyConsumptionAverage;EnergyConsumptionDailyMaximum;EnergyConsumptionDailyMinimum;HeatingDailyCumulative;HeatingAverage ;HeatingDailyMaximum;HeatingDailyMinimum;CoolingDailyCumulative;CoolingAverage ;CoolingDailyMaximum;CoolingDailyMinimum;LightingDailyCumulative;LightingAverage ;LightingDailyMaximum;LightingDailyMinimum;PlugLoadsDailyCumulative;PlugLoadsAverage ;PlugLoadsDailyMaximum;PlugLoadsDailyMinimum;CarbonEquivalentEmissionsDailyCumulative;CarbonEquivalentEmissionsAverage ;CarbonEquivalentEmissionsDailyMaximum;CarbonEquivalentEmissionsDailyMinimum
97;8.72613;0.363589;0.852073;0.23485;0.127023;0.005293;0.127023;0;0.845305;0.035221;0.328104;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.640905;0.110038;0.260866;0.071901
98;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
99;14.542003;0.605917;0.943144;0.307832;0;0;0;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.452106;0.185504;0.288748;0.094244
100;14.743701;0.614321;0.943144;0.307832;0.201698;0.008404;0.175139;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.4652;0.18605;0.288748;0.094244
101;14.60895;0.608706;0.943144;0.307832;0.066947;0.002789;0.066947;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.456452;0.185685;0.288748;0.094244
102;15.584493;0.649354;1.105283;0.307832;0.685887;0.028579;0.685887;0;0.356604;0.014858;0.16214;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.605808;0.191909;0.338388;0.094244
103;14.580521;0.607522;0.943144;0.307832;0.038518;0.001605;0.038518;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.454606;0.185609;0.288748;0.094244
104;8.510558;0.354607;0.77371;0.23485;0.756757;0.031532;0.449973;0;0;0;0;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.422991;0.100958;0.163388;0.071901
105;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
106;15.009473;0.625395;0.943144;0.307832;0.46747;0.019478;0.434978;0;0;0;0;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.482453;0.186769;0.288748;0.094244
107;15.818666;0.659111;1.163255;0.307832;0.360394;0.015016;0.337012;0;0.916269;0.038178;0.220112;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.756022;0.198168;0.356136;0.094244
108;14.951559;0.622982;1.02159;0.307832;0;0;0;0;0.409556;0.017065;0.078447;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.577494;0.190729;0.312765;0.094244
109;17.104343;0.712681;1.351733;0.307832;0;0;0;0;2.56234;0.106764;0.408589;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.236579;0.218191;0.41384;0.094244
110;17.753402;0.739725;1.455456;0.307832;0;0;0;0;3.211399;0.133808;0.512312;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.435292;0.22647;0.445595;0.094244
111;11.097011;0.462375;1.102867;0.23485;0;0;0;0;3.34321;0.1393;0.578898;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;3.397405;0.141559;0.337648;0.071901
112;5.636406;0.23485;0.23485;0.23485;0;0;0;0;0;0;0;0;0.381749;0.015906;0.015906;0.015906;5.254658;0.218944;0.218944;0.218944;1.725614;0.071901;0.071901;0.071901
113;19.366673;0.806945;1.511518;0.307832;0;0;0;0;4.82467;0.201028;0.568375;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.929203;0.24705;0.462759;0.094244
114;20.545394;0.856058;1.618075;0.307832;0;0;0;0;6.003391;0.250141;0.674931;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;6.290074;0.262086;0.495382;0.094244
115;15.874149;0.661423;1.125302;0.307832;0;0;0;0;1.332146;0.055506;0.185572;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;4.859949;0.202498;0.344517;0.094244
116;19.576134;0.815672;1.734607;0.307832;0;0;0;0;5.034132;0.209755;0.791463;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;5.99333;0.249722;0.531058;0.094244
117;22.530631;0.938776;1.907354;0.307832;0;0;0;0;7.988628;0.33286;0.96421;0;3.5948;0.149783;0.286311;0.015906;10.947203;0.456133;0.656832;0.291925;6.897864;0.287411;0.583946;0.094244
118;9.031005;0.376292;0.731361;0.23485;0;0;0;0;1.277204;0.053217;0.207393;0;1.367933;0.056997;0.159062;0.015906;6.385869;0.266078;0.364907;0.218944;2.764887;0.115204;0.22391;0.071901
